Player	Game id	Variant	BDR
asaelr	40345	No Variant	3
asaelr	40694	No Variant	3
asaelr	40824	Brown (5 Suits)	3
asaelr	41017	Black & Rainbow (6 Suits)	3
asaelr	41019	Pink (5 Suits)	3
asaelr	41534	No Variant	3
asaelr	41733	No Variant	3
asaelr	42178	No Variant	3
asaelr	42218	No Variant	3
asaelr	42257	Black & Pink (6 Suits)	3
asaelr	42331	White & Brown (6 Suits)	3
asaelr	42335	No Variant	3
asaelr	42338	Rainbow (5 Suits)	3
asaelr	42452	Rainbow (5 Suits)	3
asaelr	42551	Dark Brown (6 Suits)	3
asaelr	42565	Rainbow (5 Suits)	3
asaelr	42566	Rainbow (5 Suits)	3
asaelr	42654	Brown (6 Suits)	3
asaelr	42677	No Variant	3
asaelr	42990	No Variant	3
asaelr	42993	No Variant	3
asaelr	43028	Rainbow & Pink (6 Suits)	3
asaelr	43036	White (6 Suits)	3
asaelr	43192	6 Suits	3
asaelr	43194	Black (6 Suits)	3
asaelr	43355	6 Suits	3
asaelr	44106	6 Suits	3
asaelr	44251	Black & Rainbow (6 Suits)	3
asaelr	44564	6 Suits	3
asaelr	44565	Black (6 Suits)	3
asaelr	44589	Rainbow (5 Suits)	3
asaelr	44665	Brown (6 Suits)	3
asaelr	44925	No Variant	3
asaelr	45074	Black & White (5 Suits)	3
asaelr	45286	Rainbow (6 Suits)	3
asaelr	45322	6 Suits	3
asaelr	45329	Black (6 Suits)	3
asaelr	45759	No Variant	3
asaelr	46575	6 Suits	3
asaelr	46577	6 Suits	3
asaelr	46582	No Variant	3
asaelr	46730	Up or Down (6 Suits)	3
asaelr	46731	Up or Down (6 Suits)	3
asaelr	46886	Pink & White (6 Suits)	3
asaelr	47459	White (6 Suits)	3
asaelr	47716	Rainbow (6 Suits)	3
asaelr	48016	Black (5 Suits)	3
asaelr	48234	Muddy Rainbow (6 Suits)	3
asaelr	48332	No Variant	3
asaelr	48716	Omni (6 Suits)	3
asaelr	49180	No Variant	3
asaelr	49480	Rainbow (5 Suits)	3
asaelr	50001	No Variant	3
asaelr	51253	White (5 Suits)	3
asaelr	51409	Rainbow (6 Suits)	3
asaelr	51887	Dark Pink (6 Suits)	3
asaelr	52678	Pink (6 Suits)	3
asaelr	52755	Rainbow & White (6 Suits)	3
asaelr	53143	Pink & Gray (6 Suits)	3
asaelr	53380	Dark Rainbow (6 Suits)	3
asaelr	53451	Black & Gray (6 Suits)	3
asaelr	53479	Dark Pink (6 Suits)	3
