Username	Type	W/L(%)	W(%)	L(%)	W(#)	L(#)	W/L(%, 2p)	W(%, 2p)	L(%, 2p)	W(#, 2p)	L(#, 2p)	W/L(%, 3p)	W(%, 3p+)	L(%, 3p+)	W(#, 3p+)	L(#, 3p+)
sjdrodge	Totals	33.58	25.14	74.86	1129	3362	31.31	23.84	76.16	67	214	33.74	25.23	74.77	1062	3148
sjdrodge	Easy	39.66	28.4	71.6	1066	2688	43.97	30.54	69.46	62	141	39.42	28.27	71.73	1004	2547
sjdrodge	Null	31.08	23.71	76.29	23	74	0.0	0.0	100.0	0	10	35.94	26.44	73.56	23	64
sjdrodge	Single dark	7.34	6.84	93.16	40	545	10.64	9.62	90.38	5	47	7.03	6.57	93.43	35	498
sjdrodge	Double dark	0.0	0.0	100.0	0	55	0.0	0.0	100.0	0	16	0.0	0.0	100.0	0	39
skyblueexo	Totals	20.04	16.7	83.3	98	489	20.51	17.02	82.98	24	117	19.89	16.59	83.41	74	372
skyblueexo	Easy	22.84	18.6	81.4	90	394	27.03	21.28	78.72	20	74	21.88	17.95	82.05	70	320
skyblueexo	Null	11.11	10.0	90.0	1	9	11.11	10.0	90.0	1	9	0	0	0	0	0
skyblueexo	Single dark	8.14	7.53	92.47	7	86	8.82	8.11	91.89	3	34	7.69	7.14	92.86	4	52
skyblueexo	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smandon	Totals	27.96	21.85	78.15	78	279	22.78	18.56	81.44	18	79	30.0	23.08	76.92	60	200
Smandon	Easy	31.05	23.69	76.31	68	219	25.0	20.0	80.0	17	68	33.77	25.25	74.75	51	151
Smandon	Null	9.09	8.33	91.67	1	11	9.09	8.33	91.67	1	11	0	0	0	0	0
Smandon	Single dark	18.37	15.52	84.48	9	49	0	0	0	0	0	18.37	15.52	84.48	9	49
Smandon	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spieler42	Totals	18.32	15.48	84.52	124	677	14.5	12.67	87.33	19	131	19.23	16.13	83.87	105	546
Spieler42	Easy	22.24	18.2	81.8	117	526	15.18	13.18	86.82	17	112	24.15	19.46	80.54	100	414
Spieler42	Null	0.0	0.0	100.0	0	1	0	0	0	0	0	0.0	0.0	100.0	0	1
Spieler42	Single dark	4.7	4.49	95.51	7	149	10.53	9.52	90.48	2	19	3.85	3.7	96.3	5	130
Spieler42	Double dark	0.0	0.0	100.0	0	1	0	0	0	0	0	0.0	0.0	100.0	0	1
squirrel1988	Totals	14.31	12.52	87.48	168	1174	14.98	13.03	86.97	89	594	13.62	11.99	88.01	79	580
squirrel1988	Easy	24.74	19.84	80.16	121	489	32.4	24.47	75.53	58	179	20.32	16.89	83.11	63	310
squirrel1988	Null	11.67	10.45	89.55	7	60	5.77	5.45	94.55	3	52	50.0	33.33	66.67	4	8
squirrel1988	Single dark	6.84	6.4	93.6	40	585	8.67	7.98	92.02	28	323	4.58	4.38	95.62	12	262
squirrel1988	Double dark	0.0	0.0	100.0	0	40	0.0	0.0	100.0	0	40	0	0	0	0	0
StKildaFan	Totals	24.11	19.43	80.57	447	1854	21.03	17.37	82.63	221	1051	28.14	21.96	78.04	226	803
StKildaFan	Easy	32.81	24.7	75.3	396	1207	29.52	22.79	77.21	186	630	36.4	26.68	73.32	210	577
StKildaFan	Null	0.0	0.0	100.0	0	1	0	0	0	0	0	0.0	0.0	100.0	0	1
StKildaFan	Single dark	9.86	8.98	91.02	50	507	11.93	10.66	89.34	34	285	7.21	6.72	93.28	16	222
StKildaFan	Double dark	0.72	0.71	99.29	1	139	0.74	0.73	99.27	1	136	0.0	0.0	100.0	0	3
Sucubis	Totals	23.2	18.83	81.17	389	1677	33.77	25.24	74.76	26	77	22.69	18.49	81.51	363	1600
Sucubis	Easy	31.86	24.16	75.84	317	995	41.82	29.49	70.51	23	55	31.28	23.82	76.18	294	940
Sucubis	Null	41.18	29.17	70.83	7	17	0.0	0.0	100.0	0	1	43.75	30.43	69.57	7	16
Sucubis	Single dark	9.94	9.04	90.96	64	644	14.29	12.5	87.5	3	21	9.79	8.92	91.08	61	623
Sucubis	Double dark	4.76	4.55	95.45	1	21	0	0	0	0	0	4.76	4.55	95.45	1	21
swineherd	Totals	20.29	16.87	83.13	281	1385	25.0	20.0	80.0	2	8	20.26	16.85	83.15	279	1377
swineherd	Easy	26.62	21.02	78.98	230	864	100.0	50.0	50.0	1	1	26.54	20.97	79.03	229	863
swineherd	Null	22.5	18.37	81.63	9	40	0	0	0	0	0	22.5	18.37	81.63	9	40
swineherd	Single dark	8.75	8.05	91.95	42	480	14.29	12.5	87.5	1	7	8.67	7.98	92.02	41	473
swineherd	Double dark	0.0	0.0	100.0	0	1	0	0	0	0	0	0.0	0.0	100.0	0	1
Syrah	Totals	32.62	24.6	75.4	168	515	31.43	23.91	76.09	11	35	32.71	24.65	75.35	157	480
Syrah	Easy	46.42	31.7	68.3	136	293	39.29	28.21	71.79	11	28	47.17	32.05	67.95	125	265
Syrah	Null	63.64	38.89	61.11	7	11	0	0	0	0	0	63.64	38.89	61.11	7	11
Syrah	Single dark	11.85	10.59	89.41	25	211	0.0	0.0	100.0	0	7	12.25	10.92	89.08	25	204
Syrah	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TheDaniMan	Totals	17.31	14.75	85.25	800	4622	13.57	11.95	88.05	204	1503	19.11	16.04	83.96	596	3119
TheDaniMan	Easy	25.03	20.02	79.98	590	2357	22.28	18.22	81.78	127	570	25.91	20.58	79.42	463	1787
TheDaniMan	Null	12.97	11.48	88.52	41	316	13.61	11.98	88.02	23	169	12.24	10.91	89.09	18	147
TheDaniMan	Single dark	9.07	8.31	91.69	168	1853	7.7	7.15	92.85	53	688	9.87	8.98	91.02	115	1165
TheDaniMan	Double dark	1.04	1.03	98.97	1	96	1.32	1.3	98.7	1	76	0.0	0.0	100.0	0	20
TimeHoodie	Totals	22.65	18.46	81.54	743	3281	25.86	20.55	79.45	45	174	22.47	18.34	81.66	698	3107
TimeHoodie	Easy	31.09	23.71	76.29	590	1898	31.43	23.91	76.09	33	105	31.07	23.7	76.3	557	1793
TimeHoodie	Null	24.32	19.57	80.43	18	74	0	0	0	0	0	24.32	19.57	80.43	18	74
TimeHoodie	Single dark	10.83	9.77	90.23	135	1247	19.05	16.0	84.0	12	63	10.39	9.41	90.59	123	1184
TimeHoodie	Double dark	0.0	0.0	100.0	0	62	0.0	0.0	100.0	0	6	0.0	0.0	100.0	0	56
timotree	Totals	22.51	18.38	81.62	475	2110	22.97	18.68	81.32	158	688	22.29	18.23	81.77	317	1422
timotree	Easy	27.19	21.37	78.63	426	1567	23.5	19.03	80.97	145	617	29.58	22.83	77.17	281	950
timotree	Null	12.82	11.36	88.64	10	78	30.0	23.08	76.92	3	10	10.29	9.33	90.67	7	68
timotree	Single dark	8.61	7.93	92.07	39	453	16.39	14.08	85.92	10	61	7.4	6.89	93.11	29	392
timotree	Double dark	0.0	0.0	100.0	0	12	0	0	0	0	0	0.0	0.0	100.0	0	12
Valetta6789	Totals	22.3	18.24	81.76	1183	5304	21.95	18.0	82.0	646	2943	22.74	18.53	81.47	537	2361
Valetta6789	Easy	32.17	24.34	75.66	841	2614	37.75	27.4	72.6	442	1171	27.65	21.66	78.34	399	1443
Valetta6789	Null	24.66	19.78	80.22	36	146	26.0	20.63	79.37	13	50	23.96	19.33	80.67	23	96
Valetta6789	Single dark	13.4	11.82	88.18	296	2209	12.57	11.17	88.83	182	1448	14.98	13.03	86.97	114	761
Valetta6789	Double dark	2.99	2.9	97.1	10	335	3.28	3.18	96.82	9	274	1.64	1.61	98.39	1	61
vEnhance	Totals	22.54	18.4	81.6	149	661	16.67	14.29	85.71	11	66	23.19	18.83	81.17	138	595
vEnhance	Easy	26.89	21.19	78.81	139	517	22.22	18.18	81.82	10	45	27.33	21.46	78.54	129	472
vEnhance	Null	25.0	20.0	80.0	3	12	0	100.0	0.0	1	0	16.67	14.29	85.71	2	12
vEnhance	Single dark	5.3	5.04	94.96	7	132	0.0	0.0	100.0	0	21	6.31	5.93	94.07	7	111
vEnhance	Double dark	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VerySloppyTwo	Totals	18.44	15.57	84.43	278	1508	24.77	19.85	80.15	107	432	15.89	13.71	86.29	171	1076
VerySloppyTwo	Easy	22.67	18.48	81.52	226	997	29.48	22.77	77.23	97	329	19.31	16.19	83.81	129	668
VerySloppyTwo	Null	35.0	25.93	74.07	7	20	0	100.0	0.0	1	0	30.0	23.08	76.92	6	20
VerySloppyTwo	Single dark	9.13	8.37	91.63	44	482	8.74	8.04	91.96	9	103	9.23	8.45	91.55	35	379
VerySloppyTwo	Double dark	11.11	10.0	90.0	1	9	0	0	0	0	0	11.11	10.0	90.0	1	9
will.i.am	Totals	14.53	12.68	87.32	250	1721	7.69	7.14	92.86	4	52	14.74	12.85	87.15	246	1669
will.i.am	Easy	18.58	15.67	84.33	189	1017	6.38	6.0	94.0	3	47	19.18	16.09	83.91	186	970
will.i.am	Null	11.86	10.61	89.39	7	59	0	0	0	0	0	11.86	10.61	89.39	7	59
will.i.am	Single dark	8.6	7.92	92.08	54	628	20.0	16.67	83.33	1	5	8.51	7.84	92.16	53	623
will.i.am	Double dark	0.0	0.0	100.0	0	17	0	0	0	0	0	0.0	0.0	100.0	0	17
willwin4sure	Totals	16.89	14.45	85.55	200	1184	12.1	10.79	89.21	106	876	30.52	23.38	76.62	94	308
willwin4sure	Easy	22.55	18.4	81.6	159	705	17.07	14.58	85.42	77	451	32.28	24.4	75.6	82	254
willwin4sure	Null	14.29	12.5	87.5	14	98	11.34	10.19	89.81	11	97	300.0	75.0	25.0	3	1
willwin4sure	Single dark	11.82	10.57	89.43	26	220	9.94	9.04	90.96	17	171	18.37	15.52	84.48	9	49
willwin4sure	Double dark	0.62	0.62	99.38	1	161	0.64	0.63	99.37	1	157	0.0	0.0	100.0	0	4
Wittvector	Totals	19.18	16.09	83.91	345	1799	26.67	21.05	78.95	28	105	18.71	15.76	84.24	317	1694
Wittvector	Easy	25.48	20.31	79.69	264	1036	27.38	21.5	78.5	23	84	25.32	20.2	79.8	241	952
Wittvector	Null	21.15	17.46	82.54	11	52	0	0	0	0	0	21.15	17.46	82.54	11	52
Wittvector	Single dark	10.57	9.56	90.44	70	662	23.81	19.23	80.77	5	21	10.14	9.21	90.79	65	641
Wittvector	Double dark	0.0	0.0	100.0	0	49	0	0	0	0	0	0.0	0.0	100.0	0	49
wolfpack	Totals	23.98	19.34	80.66	59	246	20.97	17.33	82.67	13	62	25.0	20.0	80.0	46	184
wolfpack	Easy	29.47	22.76	77.24	56	190	24.44	19.64	80.36	11	45	31.03	23.68	76.32	45	145
wolfpack	Null	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wolfpack	Single dark	6.0	5.66	94.34	3	50	18.18	15.38	84.62	2	11	2.56	2.5	97.5	1	39
wolfpack	Double dark	0.0	0.0	100.0	0	6	0.0	0.0	100.0	0	6	0	0	0	0	0
wortel	Totals	31.28	23.83	76.17	198	633	33.33	25.0	75.0	4	12	31.24	23.8	76.2	194	621
wortel	Easy	35.06	25.96	74.04	176	502	33.33	25.0	75.0	4	12	35.1	25.98	74.02	172	490
wortel	Null	57.14	36.36	63.64	4	7	0	0	0	0	0	57.14	36.36	63.64	4	7
wortel	Single dark	15.13	13.14	86.86	18	119	0	0	0	0	0	15.13	13.14	86.86	18	119
wortel	Double dark	0.0	0.0	100.0	0	5	0	0	0	0	0	0.0	0.0	100.0	0	5
wump	Totals	27.89	21.81	78.19	400	1434	32.28	24.4	75.6	41	127	27.47	21.55	78.45	359	1307
wump	Easy	33.95	25.35	74.65	346	1019	36.23	26.6	73.4	25	69	33.79	25.26	74.74	321	950
wump	Null	35.0	25.93	74.07	7	20	0	0	0	0	0	35.0	25.93	74.07	7	20
wump	Single dark	12.05	10.76	89.24	47	390	28.57	22.22	77.78	16	56	9.28	8.49	91.51	31	334
wump	Double dark	0.0	0.0	100.0	0	5	0.0	0.0	100.0	0	2	0.0	0.0	100.0	0	3
Zakisan	Totals	24.11	19.43	80.57	204	846	30.0	23.08	76.92	3	10	24.04	19.38	80.62	201	836
Zakisan	Easy	31.91	24.19	75.81	179	561	30.0	23.08	76.92	3	10	31.94	24.21	75.79	176	551
Zakisan	Null	8.33	7.69	92.31	1	12	0	0	0	0	0	8.33	7.69	92.31	1	12
Zakisan	Single dark	8.82	8.11	91.89	24	272	0	0	0	0	0	8.82	8.11	91.89	24	272
Zakisan	Double dark	0.0	0.0	100.0	0	1	0	0	0	0	0	0.0	0.0	100.0	0	1
Zamiel	Totals	11.74	10.5	89.5	1381	11768	8.28	7.65	92.35	202	2440	12.64	11.22	88.78	1179	9328
Zamiel	Easy	17.28	14.74	85.26	1173	6787	12.33	10.98	89.02	157	1273	18.43	15.56	84.44	1016	5514
Zamiel	Null	9.09	8.33	91.67	36	396	5.78	5.46	94.54	10	173	11.66	10.44	89.56	26	223
Zamiel	Single dark	4.23	4.06	95.94	166	3926	4.02	3.86	96.14	33	821	4.28	4.11	95.89	133	3105
Zamiel	Double dark	0.91	0.9	99.1	6	659	1.16	1.14	98.86	2	173	0.82	0.82	99.18	4	486
